ID,Ttime_Car (s),Ttime_PT (s),Ttime_bike (s),Distance (m)
766,776,1706,1230,5662
765,937,1708,1392,9070
618,1620,2135,3739,29415
762,888,1709,1236,6414
761,967,1712,1195,6731
758,907,1725,1292,6873
757,835,1727,1148,6106
756,851,1729,927,5561
750,685,1738,923,4694
746,741,1744,1047,5112
747,680,1744,912,4689
748,680,1744,912,4689
198,1878,4028,4984,29075
742,911,1763,1300,6926
741,695,1764,915,4921
739,711,1769,951,5032
737,1032,1784,1436,7458
735,708,1797,914,4966
731,709,1799,914,4969
730,700,1800,941,4953
727,702,1805,1026,5217
728,936,1805,1201,6345
726,860,1808,1185,6348
723,943,1825,1590,8982
722,864,1826,1189,9735
719,899,1841,1132,7179
715,1041,1843,1557,11068
710,1004,1852,1222,6778
711,1004,1852,1222,6778
707,949,1858,1179,6432
702,837,1874,1228,6808
701,1084,1876,1504,11818
698,730,1878,1041,5395
699,730,1878,1041,5395
696,1057,1885,1524,10294
691,1077,1891,1495,11784
689,729,1892,1040,5392
690,729,1892,1040,5392
687,763,1898,1122,7109
681,930,1909,1623,9236
675,1061,1922,1526,10306
674,993,1926,1833,10260
670,1064,1948,1534,10362
667,896,1961,1137,7192
258,2148,3734,4776,26007
664,897,1965,1081,8047
663,948,1967,1633,9152
661,1063,1973,1540,10397
536,2010,2482,5803,25752
658,857,1991,841,5600
648,910,2022,1088,7483
639,1038,2062,1991,10778
640,1038,2062,1991,10778
634,1077,2076,2041,11065
594,1791,2233,4055,25679
631,1049,2082,1992,10811
628,1046,2095,1822,10682
626,886,2103,1189,7178
597,1018,2217,1641,9991
718,1048,1842,1577,11113
610,1033,2162,2007,10864
706,1061,1862,1526,10306
736,853,1792,1080,7735
688,762,1894,961,7663
683,816,1905,1054,7655
842,972,1433,1352,6899
725,820,1820,875,6257
704,965,1869,1465,7956
828,805,1536,1135,5648
876,762,1196,1049,5524
700,896,1877,1614,6579
709,746,1856,1096,5451
753,710,1733,1031,5325
714,677,1843,1034,5065
126,1983,4613,4714,23958
693,722,1890,869,4847
672,737,1940,880,4918
657,733,1993,853,4728
653,703,2000,1103,5195
623,712,2112,790,4277
620,712,2124,790,4277
703,786,1872,922,5295
744,719,1747,1103,5261
647,668,2022,1076,5021
666,744,1963,885,4950
785,701,1676,991,4885
692,722,1890,869,4847
879,666,1192,853,4011
950,555,901,495,3313
880,512,1190,591,3251
1035,408,527,458,2820
1048,363,478,449,2418
1054,309,459,262,1717
1055,309,459,262,1717
1062,298,453,245,1706
652,1082,2011,2002,10998
1077,297,404,275,1660
1078,297,404,275,1660
1091,285,385,264,1597
1092,285,385,264,1597
287,1565,3599,3715,23554
644,1039,2040,1603,10613
1101,282,372,261,1579
643,1192,2042,2434,12867
1102,282,372,261,1579
1120,272,345,232,1545
1044,242,493,245,1191
638,1380,2063,3124,17282
637,937,2066,1480,8046
1116,204,364,216,1032
636,1255,2073,3025,17018
993,248,745,227,1016
1021,191,623,168,860
632,960,2079,1505,10441
1022,191,623,168,860
629,1354,2086,3087,17431
1034,190,530,180,732
1112,153,371,151,523
866,1023,1238,1417,7403
622,1167,2119,2528,13704
619,922,2126,1463,10339
852,995,1326,1393,7453
614,1148,2152,2503,13546
833,1178,1496,2171,14647
832,1268,1503,2236,15319
831,1257,1521,2225,15260
605,997,2187,1669,9550
603,1350,2197,3212,17398
601,1202,2200,2577,13852
830,1298,1532,2193,15355
826,1322,1548,2287,15452
821,1276,1569,2180,15477
820,1276,1577,2177,15477
819,1287,1582,2246,15361
810,1345,1620,2328,15697
815,1216,1594,2254,15086
800,1179,1646,2138,14661
579,1422,2294,3328,17892
578,1350,2295,3076,15966
577,1221,2301,2466,13311
106,3713,4802,11078,69641
575,1550,2305,2760,18023
795,1155,1655,2121,14440
796,1155,1655,2121,14440
572,1237,2311,2602,13976
571,1194,2317,2496,13537
48,1925,5611,4281,22950
569,1395,2319,3330,17942
570,1395,2319,3330,17942
568,1630,2320,3774,29515
563,1358,2349,3069,15946
564,1358,2349,3069,15946
427,1610,3024,4008,22305
193,1682,4077,3782,21923
561,1290,2352,2802,18322
560,1461,2353,3378,18223
793,991,1659,1419,7372
787,1043,1671,1464,7727
551,1203,2408,3065,16867
550,1750,2409,3682,30458
786,1376,1676,2361,15858
547,1336,2436,3041,15863
545,1272,2447,2634,14159
544,1242,2453,2621,14187
543,1234,2458,2887,17895
540,1386,2466,2934,19038
781,1038,1685,1427,7448
538,1272,2475,2632,14154
537,1274,2480,3206,17136
302,1617,3543,3348,18578
533,1258,2488,2636,14100
532,1661,2492,3932,23960
43,1726,5741,3898,20683
530,1337,2498,3042,15862
483,2180,2724,5252,20358
528,1795,2506,3700,17426
527,1401,2510,3065,16195
69,3184,5393,11830,57915
76,3207,5265,11900,57959
524,1375,2523,3378,17936
523,1832,2525,3804,18065
522,1830,2530,3828,18147
521,1208,2534,3229,16692
55,2341,5532,6480,20000
520,1832,2540,4451,27249
518,1652,2546,3843,24071
519,2059,2546,5695,23256
516,1639,2552,3504,16361
777,1221,1695,2309,15110
774,1346,1698,2336,15695
514,1229,2557,2523,13808
513,1810,2558,4043,25630
512,1872,2591,4135,26238
510,1829,2592,3848,18143
511,1829,2592,3848,18143
509,1917,2598,5719,30832
507,1709,2617,3727,20905
504,1320,2630,2722,14561
503,1420,2632,3374,18222
363,1550,3279,3252,17910
599,2174,2205,4367,19233
593,2102,2246,4242,18818
500,1440,2658,3282,18469
457,1371,2842,3082,15850
387,1566,3218,3227,18030
409,1532,3095,3189,17849
495,1909,2665,6584,32866
493,1385,2675,3279,17982
491,1400,2683,3368,18166
490,2065,2695,4447,18583
773,1041,1700,1430,7473
767,1148,1705,2114,14294
489,2068,2703,6781,33490
488,1407,2709,3391,18054
486,2096,2712,5897,33300
484,1321,2723,3098,17526
768,1148,1705,2114,14294
485,1321,2723,3098,17526
482,1539,2730,3299,14907
479,1993,2732,5690,37122
478,1355,2739,2694,14616
394,1505,3173,3219,17586
428,1513,3016,3174,17726
474,2347,2750,6110,32269
473,2274,2752,5662,20958
472,1554,2757,3998,23248
471,2362,2763,6081,32363
385,1537,3226,3351,15325
470,2077,2766,6709,33461
468,1791,2767,3989,25632
469,2463,2767,6108,33082
466,1727,2806,4006,25572
380,1553,3229,3266,17957
769,1108,1705,1585,8605
463,2120,2814,5013,30562
584,1278,2284,2545,14204
462,2172,2816,5041,20587
461,1390,2827,2815,15273
460,2070,2831,5903,32971
459,2097,2836,5967,33146
455,1997,2847,5830,31179
456,2184,2847,5061,20583
454,1952,2853,4178,26673
452,2127,2858,4738,35444
453,2163,2858,6477,40969
450,1475,2886,2913,15196
449,2007,2905,4314,27527
448,2092,2914,4802,35329
447,1586,2916,3532,19829
355,1585,3325,3283,18132
445,2174,2926,6682,41163
443,1582,2934,3972,23660
442,1628,2936,4139,27095
440,2149,2943,5179,39822
441,2147,2943,5257,20027
439,1594,2945,3923,22033
438,2270,2947,5994,31971
435,1718,2955,3538,16870
433,1634,2975,3486,19929
430,1742,2996,3594,17036
429,1520,3011,3206,14581
369,1574,3260,3271,18120
424,1957,3029,5664,37062
422,1993,3049,4354,27423
770,1052,1705,1479,7767
421,2113,3051,6726,33625
420,2070,3057,4651,28441
418,2100,3060,6600,34000
419,2100,3060,6600,41713
417,1942,3064,5644,36769
416,1922,3078,5616,30690
415,1678,3079,4018,22362
413,1658,3082,4662,26452
763,1381,1709,2358,15878
412,2188,3085,6095,31856
410,1872,3094,5698,30615
206,3300,3960,10800,47000
405,2418,3113,6063,32534
404,2132,3117,4759,19596
402,2153,3135,6687,41057
401,2164,3136,6482,40985
400,2068,3140,4565,34197
399,2100,3147,4700,19317
751,1109,1736,1522,8068
101,2777,4894,10165,46795
397,1950,3160,5785,30992
218,2037,3889,6494,32574
392,1680,3189,4066,22739
391,2211,3198,6212,33860
390,2236,3200,6245,34159
389,1935,3208,4783,29720
3,6064,7597,23949,133076
384,2078,3227,6280,33243
383,2052,3228,4741,31000
381,2250,3229,6638,41525
752,1109,1736,1522,8068
743,1075,1753,1523,7975
382,2312,3229,6866,36124
225,2273,3858,5034,27915
375,1951,3251,5582,30677
529,1048,2500,1912,10397
374,2432,3253,6337,33005
740,1230,1767,2324,15182
372,1973,3254,5902,31260
63,3780,5452,12415,61397
738,1173,1781,2129,14713
368,2086,3261,4717,27267
366,1838,3265,4182,25261
365,2436,3268,6572,34407
555,1068,2398,1751,9941
364,2015,3273,4711,30300
362,2219,3281,6726,41290
361,2259,3283,6650,41602
360,1965,3284,4876,26554
359,2304,3286,6193,34197
358,2078,3301,4540,30642
357,2424,3315,6581,35143
356,2342,3324,6463,34577
354,2433,3328,6369,32893
158,3405,4282,13045,63124
732,1136,1798,2096,14299
351,2889,3347,7202,36183
733,1136,1798,2096,14299
734,1136,1798,2096,14299
346,2189,3360,6086,33638
729,1185,1800,2184,14732
721,1290,1831,2419,15722
345,2341,3365,6384,32189
343,2199,3371,4932,29525
342,2015,3375,5436,30115
341,2120,3378,6435,34925
340,2013,3380,6400,39926
339,2118,3381,4859,19790
337,1963,3387,5173,29404
335,2095,3389,5933,22326
716,1270,1843,2382,15522
396,1858,3162,4420,26057
332,2179,3401,6214,33950
333,2117,3401,4743,19784
331,2219,3402,5737,32337
330,2266,3407,6661,41549
328,1944,3430,4567,26414
713,1423,1845,2415,16016
327,2228,3442,6156,33917
325,2467,3458,8456,41692
323,2067,3470,5669,31484
320,2125,3474,6553,35246
321,2200,3474,6103,33765
318,2274,3489,6789,41635
315,2254,3511,6641,41549
314,2116,3519,4657,25628
312,2177,3524,6089,33616
313,2501,3524,8466,41960
712,1200,1849,1835,15927
310,2282,3530,5810,33007
308,3008,3532,7323,36717
307,2317,3535,6458,36668
305,2257,3539,5760,32558
303,2086,3540,6675,35618
299,2650,3552,7198,43254
297,2539,3553,6512,33468
697,1262,1882,2350,15385
295,2076,3558,5248,30094
296,2144,3558,6183,38757
289,2217,3594,5781,32383
284,2260,3600,4975,29833
285,2260,3600,4975,29833
281,2260,3611,7557,40713
279,3289,3622,9089,52521
278,2374,3625,5849,33242
694,1190,1889,2169,14781
275,2251,3633,6148,33988
276,2992,3633,7286,36500
272,2716,3664,8080,43498
271,2891,3665,8094,44503
267,2381,3712,6522,34911
266,2565,3717,7369,37431
264,2328,3719,6350,34025
260,2806,3726,8396,46206
255,2368,3741,6520,31736
398,1876,3150,4547,24263
246,3056,3772,8470,48054
388,1719,3217,4388,23375
238,3160,3793,9055,52051
235,2423,3801,6428,34917
187,2798,4121,10713,51278
221,2903,3875,7168,35872
105,2750,4806,9265,50174
213,2823,3929,3180,20000
684,1287,1903,2409,15587
74,4027,5319,14557,67489
54,4002,5537,10454,72465
167,3427,4234,9690,56585
162,3325,4251,9836,43451
66,3225,5439,10535,55185
136,3824,4442,12892,67064
671,1296,1945,2353,15380
817,742,1591,1324,7564
813,803,1606,1478,8689
806,709,1629,1337,7444
799,847,1646,1554,9172
794,728,1658,1359,7596
792,803,1663,1478,8689
789,809,1669,1471,8724
782,816,1684,1502,8909
764,818,1708,1450,8744
760,689,1719,1204,6655
759,848,1723,1547,8926
754,853,1731,1566,9237
755,843,1731,1546,9127
745,843,1744,1546,9127
724,848,1821,1547,8926
720,827,1837,1510,8941
717,878,1842,1682,7876
695,1137,1885,1667,8933
686,934,1900,1756,8210
682,1153,1908,1655,11601
668,900,1956,1730,8037
662,952,1970,1705,9961
655,894,1998,1715,8027
650,831,2014,1881,9685
649,1053,2017,1609,8509
645,931,2031,1759,8154
642,1248,2042,1937,16213
508,1056,2616,1522,10427
641,925,2050,1746,8145
635,1243,2073,1846,12210
633,919,2078,1602,9440
499,1090,2662,1980,11187
625,915,2108,1707,7990
615,976,2151,1646,10194
613,888,2153,1963,10100
612,1110,2158,2078,14284
611,1163,2162,1871,11956
598,963,2206,2051,10554
595,1350,2229,2449,15836
592,1236,2252,2372,10786
591,953,2254,2034,11553
588,960,2265,2019,10447
458,1266,2837,3321,17029
585,989,2279,2105,10493
444,1396,2928,2704,14655
580,997,2291,2066,10522
574,1333,2308,2481,15882
379,2400,3240,5400,36000
573,982,2310,2054,10593
559,1215,2370,2475,12329
426,1464,3027,3822,19109
556,1232,2385,2216,15907
423,1519,3048,3837,21535
414,1539,3079,3223,14678
411,1543,3094,3226,14698
324,1922,3459,4487,23001
406,1548,3111,3230,14722
407,1548,3111,3230,14722
353,2043,3333,4830,24134
475,1572,2748,4072,21574
549,1124,2430,2370,12156
476,1572,2748,4072,21574
539,1445,2468,2485,16769
386,1576,3222,4008,22266
501,1473,2639,4012,21396
517,1313,2552,2548,11460
377,1495,3249,3878,19404
376,1601,3250,3995,22374
515,1290,2554,2171,15043
373,1430,3253,3364,20677
371,1519,3256,3907,21895
496,1558,2664,4074,21430
367,1486,3263,4398,18444
252,2678,3755,6995,39100
194,2673,4063,7024,39573
352,1447,3346,3338,20866
350,1436,3348,3367,20852
349,1539,3349,3881,23354
825,1338,1555,2327,15649
802,1297,1642,2260,15446
344,1575,3366,3997,22287
338,1486,3382,2854,15672
336,1244,3388,3426,17010
329,1455,3411,3368,20936
772,1287,1702,2246,15361
186,2633,4122,6869,39105
586,1247,2276,2244,15200
319,1798,3485,4672,21595
557,1142,2384,2403,12349
583,987,2285,2047,10469
311,1921,3526,4793,29378
309,1693,3531,4253,30791
306,2037,3537,6156,32820
535,984,2483,2045,10432
59,3747,5477,13239,60698
301,2050,3546,5204,28701
566,914,2336,2036,10062
685,842,1901,1433,9021
816,915,1593,1730,8123
705,872,1866,1734,7646
677,720,1920,1440,15000
602,872,2198,1945,9916
293,1378,3571,3274,20538
292,1538,3574,3276,18209
290,1603,3588,3341,18528
291,1808,3588,3996,20391
288,1500,3596,3198,17873
286,2100,3600,4020,24000
498,1433,2662,3079,18061
282,1990,3609,4411,26729
280,2126,3615,4670,25683
277,2146,3628,6563,35310
600,871,2202,1946,9922
274,2149,3644,5600,30183
589,863,2261,1928,9964
273,2005,3659,5156,29429
270,1819,3675,3948,20336
269,2171,3691,5537,30118
